{'codigo': '2', 'nome': 'Jorge', 'idade': '30', 'sexo': 'm', 'e-mail': 'dimmu.dayan@gmail.com', 'telefone': '048984594785'}
{'codigo': '3', 'nome': 'Fúlvio', 'idade': '46', 'sexo': 'm', 'e-mail': 'deborazinha_rafa@yahoo.com.br', 'telefone': '016932297583'}
{'codigo': '5', 'nome': 'Roseli', 'idade': '50', 'sexo': 'm', 'e-mail': 'gabi-maria@bol.com', 'telefone': '020966521508'}
{'codigo': '6', 'nome': 'Xênia Xavier Yara', 'idade': '49', 'sexo': 'm', 'e-mail': 'pamelapaula2006@gmail.com', 'telefone': '016994659704'}
{'codigo': '7', 'nome': 'Domingos', 'idade': '34', 'sexo': 'm', 'e-mail': 'jefferson@univale.br', 'telefone': '033930739447'}
{'codigo': '9', 'nome': 'Emil', 'idade': '41', 'sexo': 'm', 'e-mail': 'masinhah_19@yahoo.com.br', 'telefone': '055971291626'}
{'codigo': '14', 'nome': 'Agnes Silva', 'idade': '24', 'sexo': 'm', 'e-mail': 'fellipefanatico@bol.com.br', 'telefone': '028965289181'}
{'codigo': '17', 'nome': 'Patrick', 'idade': '40', 'sexo': 'm', 'e-mail': 'thais_895@hotmail.com', 'telefone': '047919443611'}
{'codigo': '18', 'nome': 'James', 'idade': '43', 'sexo': 'm', 'e-mail': 'evee_dellicinha@yahoo.com.br', 'telefone': '013991561461'}
{'codigo': '23', 'nome': 'América', 'idade': '29', 'sexo': 'm', 'e-mail': 'mychelly_2005@hotmail.com', 'telefone': '035917618238'}
{'codigo': '24', 'nome': 'Jandineia', 'idade': '27', 'sexo': 'm', 'e-mail': 'waitefilipes@yaroo.com.br', 'telefone': '053946851664'}
{'codigo': '25', 'nome': 'Adelaide Santos', 'idade': '28', 'sexo': 'm', 'e-mail': 'satish.darekar@gmail.com', 'telefone': '036959626210'}
{'codigo': '29', 'nome': 'Janaina', 'idade': '23', 'sexo': 'm', 'e-mail': 'detetive_fake@zipmail.com.br', 'telefone': '056985232450'}
{'codigo': '31', 'nome': 'Zilda', 'idade': '48', 'sexo': 'm', 'e-mail': 'wobersontribalista_@hotmail.com', 'telefone': '051999297719'}
{'codigo': '34', 'nome': 'Pascoal', 'idade': '24', 'sexo': 'm', 'e-mail': 'gabyy024@yahoo.com.br', 'telefone': '030907804307'}
{'codigo': '35', 'nome': 'Leda', 'idade': '23', 'sexo': 'm', 'e-mail': 'mymymaaciel@hotmail.com', 'telefone': '040987934161'}
{'codigo': '36', 'nome': 'Heide', 'idade': '19', 'sexo': 'm', 'e-mail': 'lyta_luly@hotmail.com', 'telefone': '021975070994'}
{'codigo': '38', 'nome': 'Omar', 'idade': '46', 'sexo': 'm', 'e-mail': 'jaque.stecca@ig.com.br', 'telefone': '015940303670'}
{'codigo': '39', 'nome': 'Barbara', 'idade': '23', 'sexo': 'm', 'e-mail': 'lucascsouza1@hotmail.com', 'telefone': '025999979875'}
{'codigo': '42', 'nome': 'Maysa', 'idade': '49', 'sexo': 'm', 'e-mail': 'Charlesxfile@hotmail.com', 'telefone': '015989460985'}
{'codigo': '43', 'nome': 'Johanna', 'idade': '16', 'sexo': 'm', 'e-mail': 'damizito@hotmail.com', 'telefone': '038993151298'}
{'codigo': '45', 'nome': 'Massimo', 'idade': '38', 'sexo': 'm', 'e-mail': 'jehforrueira@yahoo.es', 'telefone': '013940307948'}
{'codigo': '50', 'nome': 'Percival', 'idade': '35', 'sexo': 'm', 'e-mail': 'Fagner_dado@walla.com', 'telefone': '017920187776'}
{'codigo': '51', 'nome': 'Gil', 'idade': '19', 'sexo': 'm', 'e-mail': 'franal14_@hotmail.com', 'telefone': '030979783375'}
{'codigo': '52', 'nome': 'Honorio', 'idade': '36', 'sexo': 'm', 'e-mail': 'SANDY_MGG3@YAHOO.COM.BR', 'telefone': '022931044937'}
{'codigo': '53', 'nome': 'Ligia', 'idade': '41', 'sexo': 'm', 'e-mail': 'eliceiaa@hotmail.com', 'telefone': '036970182961'}
{'codigo': '54', 'nome': 'Alex', 'idade': '23', 'sexo': 'm', 'e-mail': 'naoenxemano@hotmail.com', 'telefone': '018993579381'}
{'codigo': '56', 'nome': 'Zoraide', 'idade': '17', 'sexo': 'm', 'e-mail': 'dieguinhoo_toddy@hotmail.com', 'telefone': '030942702465'}
{'codigo': '57', 'nome': 'Tricia', 'idade': '30', 'sexo': 'm', 'e-mail': 'leo_hage@hotmail.com', 'telefone': '012962317262'}
{'codigo': '59', 'nome': 'Denise', 'idade': '38', 'sexo': 'm', 'e-mail': 'andreinha2007@hotmail.com', 'telefone': '020919419516'}
{'codigo': '60', 'nome': 'Ticiana', 'idade': '33', 'sexo': 'm', 'e-mail': 'yago.salathiel@yahoo.com.br', 'telefone': '026967870850'}
{'codigo': '62', 'nome': 'Ayrton', 'idade': '49', 'sexo': 'm', 'e-mail': 'gatinhu_lindu_baby@hotmal.com', 'telefone': '053936742304'}
{'codigo': '64', 'nome': 'Brisa', 'idade': '47', 'sexo': 'm', 'e-mail': 'playmobatrem@hotmail.com', 'telefone': '032974915453'}
