{'codigo': '1', 'nome': 'Raimundo', 'idade': '40', 'sexo': 'f', 'e-mail': 'pacheco_k81@hotmail.com', 'telefone': '033901987190'}
{'codigo': '4', 'nome': 'Fátima', 'idade': '42', 'sexo': 'f', 'e-mail': 'lspixarosa@terra.com.br', 'telefone': '020995548294'}
{'codigo': '8', 'nome': 'Alexandra', 'idade': '40', 'sexo': 'f', 'e-mail': 'fabiohenriquedefreitas@yahoo.com.br', 'telefone': '025966285345'}
{'codigo': '10', 'nome': 'Abda Silva', 'idade': '46', 'sexo': 'f', 'e-mail': 'leahlima@bol.com.br', 'telefone': '047943128800'}
{'codigo': '11', 'nome': 'Cirano', 'idade': '35', 'sexo': 'f', 'e-mail': 'thevips@linuxmail.com', 'telefone': '018974090493'}
{'codigo': '12', 'nome': 'Bernardo', 'idade': '25', 'sexo': 'f', 'e-mail': 'francielle_priscila@yahoo.com.br', 'telefone': '054999521980'}
{'codigo': '13', 'nome': 'Dieter', 'idade': '44', 'sexo': 'f', 'e-mail': 'moni_kbrujit@hotmail.com', 'telefone': '023970313438'}
{'codigo': '15', 'nome': 'Leo', 'idade': '39', 'sexo': 'f', 'e-mail': 'lookinha5@hotmail.com', 'telefone': '033980865576'}
{'codigo': '16', 'nome': 'Adelinda', 'idade': '28', 'sexo': 'f', 'e-mail': 'igor_cocaina@hotmail.com', 'telefone': '043933370593'}
{'codigo': '19', 'nome': 'Julieta', 'idade': '26', 'sexo': 'f', 'e-mail': 'athiagoc@hotmail.com', 'telefone': '018970643315'}
{'codigo': '20', 'nome': 'Dulcineia', 'idade': '44', 'sexo': 'f', 'e-mail': 'fadinha_erika@hotmail.com', 'telefone': '039992476161'}
{'codigo': '21', 'nome': 'Jaime', 'idade': '26', 'sexo': 'f', 'e-mail': 'ale_amor05@hotmail.com', 'telefone': '046938039948'}
{'codigo': '22', 'nome': 'Maira', 'idade': '32', 'sexo': 'f', 'e-mail': 'danielageber@hotmail.com', 'telefone': '016955944988'}
{'codigo': '26', 'nome': 'Alexa', 'idade': '49', 'sexo': 'f', 'e-mail': 'renattafdc@hotmail.com', 'telefone': '051965170895'}
{'codigo': '27', 'nome': 'Zyndal', 'idade': '20', 'sexo': 'f', 'e-mail': 'aninha_breezy3vax@yahoo.com.br', 'telefone': '036932485868'}
